Fund,Bank Name ,City ,State ,Location,Latitude,Longitude,QBFASSET
10386,Bank of Shorewood,Shorewood,IL,"Shorewood, IL",41.5200305,-88.2017293,35317
10384,Integra Bank National Association,Evansville,IN,"Evansville, IN",37.9747645,-87.5558483,904294
10383,"BankMeridian, N.A.",Columbia,SC,"Columbia, SC",34.0007493,-81.0343313,28637
10385,Virginia Business Bank,Richmond,VA,"Richmond, VA",37.5385087,-77.43428,125362
10380,Bank of Choice,Greeley,CO,"Greeley, CO",40.4233142,-104.7091322,18682
10381,LandMark Bank of Florida,Sarasota,FL,"Sarasota, FL",27.3365805,-82.5308545,258610
10382,Southshore Community Bank,Apollo Beach,FL,"Apollo Beach, FL",27.7729445,-82.39813752699379,735071
10379,Summit Bank,Prescott,AZ,"Prescott, AZ",34.5399962,-112.468761,1107514
10376,First Peoples Bank,Port St. Lucie,FL,"Port St. Lucie, FL",27.2939333,-80.3503283,1957120
10377,High Trust Bank,Stockbridge,GA,"Stockbridge, GA",33.5442781,-84.2338093,38223
10378,One Georgia Bank,Atlanta,GA,"Atlanta, GA",33.7489924,-84.3902644,112368
10375,Signature Bank,Windsor,CO,"Windsor, CO",38.5471327,-122.8163802,354090
10373,Colorado Capital Bank,Castle Rock,CO,"Castle Rock, CO",39.3722552,-104.8586826,270842
10374,First Chicago Bank & Trust,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,527959
10372,Mountain Heritage Bank,Clayton,GA,"Clayton, GA",33.5204959,-84.3591713,634901
10370,First Commercial Bank of Tampa Bay,Tampa,FL,"Tampa, FL",27.9477595,-82.458444,1322720
10371,McIntosh State Bank,Jackson,GA,"Jackson, GA",34.1282559,-83.5753386,38217
10369,Atlantic Bank and Trust,Charleston,SC,"Charleston, SC",32.7884363,-79.9399309,559551
10368,First Heritage Bank,Snohomish,WA,"Snohomish, WA",48.0074736,-121.7304882,61809503
10367,Summit Bank,Burlington,WA,"Burlington, WA",40.8126922,-91.1020205,441085
10366,First Georgia Banking Company,Franklin,GA,"Franklin, GA",34.3678642,-83.2156575,797959
10365,Atlantic Southern Bank,Macon,GA,"Macon, GA",32.8406946,-83.6324022,300674
10364,Coastal Bank,Cocoa Beach,FL,"Cocoa Beach, FL",28.3194741,-80.6102592,1113361
10359,Community Central Bank,Mount Clemens,MI,"Mount Clemens, MI",42.5972563,-82.8779754,317237
10363,The Park Avenue Bank,Valdosta,GA,"Valdosta, GA",30.8327022,-83.2784851,135431
10361,First Choice Community Bank,Dallas,GA,"Dallas, GA",33.9237141,-84.8407732,260201
10360,Cortez Community Bank,Brooksville,FL,"Brooksville, FL",28.5552719,-82.3878709,71921
10362,First National Bank of Central Florida,Winter Park,FL,"Winter Park, FL",28.5977707,-81.3510264,134206
10354,Heritage Banking Group,Carthage,MS,"Carthage, MS",32.7326356,-89.5361825,235154
10357,Rosemount National Bank,Rosemount,MN,"Rosemount, MN",44.7391873,-93.12611,238307
10358,Superior Bank,Birmingham,AL,"Birmingham, AL",33.5206824,-86.8024326,172454
10356,Nexity Bank,Birmingham,AL,"Birmingham, AL",33.5206824,-86.8024326,285015
10355,New Horizons Bank,East Ellijay,GA,"East Ellijay, GA",34.6839746,-84.4727049,492418
10353,Bartow County Bank,Cartersville,GA,"Cartersville, GA",34.1652304,-84.7997613,1774588
10351,Nevada Commerce Bank,Las Vegas,NV,"Las Vegas, NV",36.1672559,-115.148516,238940
10352,Western Springs National Bank and Trust,Western Springs,IL,"Western Springs, IL",41.8096132,-87.900671,1260354
10350,The Bank of Commerce,Wood Dale,IL,"Wood Dale, IL",41.9633625,-87.9789562,105950
10348,Legacy Bank,Milwaukee,WI,"Milwaukee, WI",43.0349931,-87.922497,281564
10349,First National Bank of Davis,Davis,OK,"Davis, OK",34.5034796,-97.1188924,40657
10347,Valley Community Bank,St. Charles,IL,"St. Charles, IL",41.9139808,-88.3128183,334608
10346,"San Luis Trust Bank, FSB",San Luis Obispo,CA,"San Luis Obispo, CA",35.3540209,-120.3757163,546576
10343,Charter Oak Bank,Napa,CA,"Napa, CA",38.2971367,-122.2855293,212718
10344,Citizens Bank of Effingham,Springfield,GA,"Springfield, GA",32.3724131,-81.3114988,966778
10345,Habersham Bank,Clarkesville,GA,"Clarkesville, GA",34.6125971,-83.5248933,371695
10340,Canyon National Bank,Palm Springs,CA,"Palm Springs, CA",33.772179449999996,-116.49529769683983,84763
10339,Badger State Bank,Cassville,WI,"Cassville, WI",42.7144408,-90.9907697,480619
10341,Peoples State Bank,Hamtramck,MI,"Hamtramck, MI",42.3928151,-83.0496438,75316
10342,Sunshine State Community Bank,Port Orange,FL,"Port Orange, FL",29.101628050000002,-81.01059617608054,55027
10337,Community First Bank Chicago,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,30073
10338,North Georgia Bank,Watkinsville,GA,"Watkinsville, GA",33.8628959,-83.4087709,69609
10336,American Trust Bank,Roswell,GA,"Roswell, GA",34.02332,-84.360022,74808
10333,First Community Bank,Taos,NM,"Taos, NM",36.4072377,-105.573284,889172
10334,FirsTier Bank,Louisville,CO,"Louisville, CO",38.2542376,-85.759407,118601
10332,Evergreen State Bank,Stoughton,WI,"Stoughton, WI",42.9167389,-89.2178997,70188
10335,The First State Bank,Camargo,OK,"Camargo, OK",36.0174879,-99.2900229,1396622
10331,United Western Bank,Denver,CO,"Denver, CO",39.7392364,-104.984862,114113
10330,The Bank of Asheville,Asheville,NC,"Asheville, NC",35.6009498,-82.5540161,432712
10328,CommunitySouth Bank & Trust,Easley,SC,"Easley, SC",34.8269276,-82.5817053,371624
10329,Enterprise Banking Company,McDonough,GA,"McDonough, GA",33.4473361,-84.1468616,943744
10327,Oglethorpe Bank,Brunswick,GA,"Brunswick, GA",31.1499528,-81.4914894,184184
10326,Legacy Bank,Scottsdale,AZ,"Scottsdale, AZ",33.4942189,-111.9260184,259182
10325,First Commercial Bank of Florida,Orlando,FL,"Orlando, FL",28.5421109,-81.3790304,190564
10321,Community National Bank,Lino Lakes,MN,"Lino Lakes, MN",45.1602442,-93.0888324,55707
10322,First Southern Bank,Batesville,AR,"Batesville, AR",35.769799,-91.6409722,90867
10323,"United Americas Bank, N.A.",Atlanta,GA,"Atlanta, GA",33.7489924,-84.3902644,1595657
10319,"Appalachian Community Bank, FSB",McCaysville,GA,"McCaysville, GA",34.9861914,-84.3713117,163372
10320,Chestatee State Bank,Dawsonville,GA,"Dawsonville, GA",34.4212053,-84.1190804,105298
10324,"The Bank of Miami,N.A.",Coral Gables,FL,"Coral Gables, FL",25.72149,-80.2683838,447667
10317,Earthstar Bank,Southampton,PA,"Southampton, PA",40.1742759,-75.0437814,25455112
10318,Paramount Bank,Farmington Hills,MI,"Farmington Hills, MI",42.4853125,-83.3771553,158517
10315,First Banking Center,Burlington,WI,"Burlington, WI",42.6780758,-88.27619,163755
10314,Allegiance Bank of North America,Bala Cynwyd,PA,"Bala Cynwyd, PA",40.0076125,-75.2340695,458533
10316,Gulf State Community Bank,Carrabelle,FL,"Carrabelle, FL",29.8532645,-84.664348,1211431
10311,Copper Star Bank,Scottsdale,AZ,"Scottsdale, AZ",33.4942189,-111.9260184,209848
10312,Darby Bank & Trust Co.,Vidalia,GA,"Vidalia, GA",32.2176855,-82.4134614,15723
10313,Tifton Banking Company,Tifton,GA,"Tifton, GA",31.4549719,-83.5108284,107235
10307,First Vietnamese American Bank,Westminster,CA,"Westminster, CA",33.7578725,-117.9859054,968385
10309,Pierce Commercial Bank,Tacoma,WA,"Tacoma, WA",47.2455013,-122.438329,72576
10310,Western Commercial Bank,Woodland Hills,CA,"Woodland Hills, CA",34.1684364,-118.6058382,2230230
10308,K Bank,Randallstown,MD,"Randallstown, MD",39.36909865,-76.79584212721417,52347
10306,"First Arizona Savings, A FSB",Scottsdale,AZ,"Scottsdale, AZ",33.4942189,-111.9260184,262093
10302,Hillcrest Bank,Overland Park,KS,"Overland Park, KS",38.9742502,-94.6851702,99057
10301,First Suburban National Bank,Maywood,IL,"Maywood, IL",41.8789942,-87.8436412,110094
10304,The First National Bank of Barnesville,Barnesville,GA,"Barnesville, GA",33.0545709,-84.1557496,82774
10305,The Gordon Bank,Gordon,GA,"Gordon, GA",34.5019651,-84.8986308,325474
10303,Progress Bank of Florida,Tampa,FL,"Tampa, FL",27.9477595,-82.458444,256330
10300,First Bank of Jacksonville,Jacksonville,FL,"Jacksonville, FL",30.3321838,-81.655651,81843
10297,Premier Bank,Jefferson City,MO,"Jefferson City, MO",38.577359,-92.1724265,26882
10299,WestBridge Bank and Trust Company,Chesterfield,MO,"Chesterfield, MO",38.661953,-90.5643258,153639
10298,"Security Savings Bank, F.S.B.",Olathe,KS,"Olathe, KS",38.8838856,-94.81887,10895336
10295,Shoreline Bank,Shoreline,WA,"Shoreline, WA",47.7564667,-122.3437497,197442
10296,Wakulla Bank,Crawfordville,FL,"Crawfordville, FL",30.1760358,-84.3751778,70997
10294,North County Bank,Arlington,WA,"Arlington, WA",48.1810957,-122.1389548,173062
10293,Haven Trust Bank Florida,Ponte Vedra Beach,FL,"Ponte Vedra Beach, FL",30.2396865,-81.3856384,49612
10291,Maritime Savings Bank,West Allis,WI,"West Allis, WI",43.0166806,-88.0070315,856236
10288,Bramble Savings Bank,Milford,OH,"Milford, OH",39.174625,-84.2958988,168551
10292,The Peoples Bank,Winder,GA,"Winder, GA",33.9919085,-83.7184368,4046888
10289,First Commerce Community Bank,Douglasville,GA,"Douglasville, GA",33.7514966,-84.7477136,294024
10287,Bank of Ellijay,Ellijay,GA,"Ellijay, GA",34.6950278,-84.4827394,1188956
10290,ISN Bank,Cherry Hill,NJ,"Cherry Hill, NJ",39.9348351,-75.0307264,22895
10286,Horizon Bank,Bradenton,FL,"Bradenton, FL",27.4989278,-82.5748194,70758
10285,Sonoma Valley Bank,Sonoma,CA,"Sonoma, CA",38.5110803,-122.8473388,20128
10282,Los Padres Bank,Solvang,CA,"Solvang, CA",34.595887,-120.139071,395980
10278,Butte Community Bank,Chico,CA,"Chico, CA",39.7284945,-121.8374777,955112
10283,Pacific State Bank,Stockton,CA,"Stockton, CA",37.9577016,-121.2907796,299225
10284,ShoreBank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,835701
10280,Imperial Savings and Loan Association,Martinsville,VA,"Martinsville, VA",36.6915262,-79.8725386,1181717
10281,Independent National Bank,Ocala,FL,"Ocala, FL",29.1871986,-82.1400923,329246
10279,Community National Bank at Bartow,Bartow,FL,"Bartow, FL",27.885186599999997,-81.81408775862916,2082684
10277,Palos Bank and Trust Company,Palos Heights,IL,"Palos Heights, IL",41.6681632,-87.7962812,18155
10276,Ravenswood Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,51095
10273,LibertyBank,Eugene,OR,"Eugene, OR",44.0505054,-123.0950506,212839
10275,The Cowlitz Bank,Longview,WA,"Longview, WA",46.1377048,-122.934462,216500
10272,Coastal Community Bank,Panama City Beach,FL,"Panama City Beach, FL",30.1765914,-85.805386,520146
10271,Bayside Savings Bank,Port Saint Joe,FL,"Port Saint Joe, FL",29.8118757,-85.302974,243215
10274,Northwest Bank & Trust,Acworth,GA,"Acworth, GA",34.0659329,-84.6768796,28159
10266,Home Valley Bank,Cave Junction,OR,"Cave Junction, OR",42.1633443,-123.6479309,377779
10267,SouthwestUSA Bank,Las Vegas,NV,"Las Vegas, NV",36.1672559,-115.148516,137175
10264,Community Security Bank,New Prague,MN,"New Prague, MN",44.5433331,-93.5760445,1525931
10269,Thunder Bank,Sylvan Grove,KS,"Sylvan Grove, KS",39.009454,-98.394228,1010075
10270,Williamsburg First National Bank,Kingstree,SC,"Kingstree, SC",33.6676643,-79.8306265,96535
10265,Crescent Bank and Trust Company,Jasper,GA,"Jasper, GA",33.3254635,-83.6868559,496552
10268,Sterling Bank,Lantana,FL,"Lantana, FL",26.5865308,-80.052166,363405
10258,"Mainstreet Savings Bank, FSB",Hastings,MI,"Hastings, MI",44.7426933,-92.8518697,981913
10260,Olde Cypress Community Bank,Clewiston,FL,"Clewiston, FL",26.7542312,-80.9336753,266816
10261,Turnberry Bank,Aventura,FL,"Aventura, FL",25.9564812,-80.1392121,611504
10259,Metro Bank of Dade County,Miami,FL,"Miami, FL",25.7741728,-80.19362,49173
10263,First National Bank of the South,Spartanburg,SC,"Spartanburg, SC",34.9498007,-81.9320157,104034
10262,Woodlands Bank,Bluffton,SC,"Bluffton, SC",32.2371465,-80.8603868,130165
