fund,bank_name,city,state,location,latitude,longitude,faildate,qbfasset
10200,Advanta Bank Corp.,Draper,UT,"Draper, UT",40.5247777,-111.8627989,3/19/2010,1525931
10198,Century Security Bank,Duluth,GA,"Duluth, GA",34.0028569,-84.1441046,3/19/2010,96535
10201,American National Bank,Parma,OH,"Parma, OH",41.3822398,-81.7355692,3/19/2010,70318
10196,Statewide Bank,Covington,LA,"Covington, LA",31.196549,-86.4597236,3/12/2010,243215
10197,Old Southern Bank,Orlando,FL,"Orlando, FL",28.5421109,-81.3790304,3/12/2010,336390
10195,The Park Avenue Bank,New York,NY,"New York, NY",40.7127281,-74.0060152,3/12/2010,520146
10194,LibertyPointe Bank,New York,NY,"New York, NY",40.7127281,-74.0060152,3/11/2010,216500
10193,Centennial Bank,Ogden,UT,"Ogden, UT",41.2230048,-111.9738429,3/5/2010,212839
10190,Waterfield Bank,Germantown,MD,"Germantown, MD",39.17130815,-77.26557848822242,3/5/2010,155566
10191,Bank of Illinois,Normal,IL,"Normal, IL",40.5092961,-88.9843937,3/5/2010,211711
10192,Sun American Bank,Boca Raton,FL,"Boca Raton, FL",26.3586885,-80.0830984,3/5/2010,535724
10189,Rainier Pacific Bank,Tacoma,WA,"Tacoma, WA",47.2455013,-122.438329,2/26/2010,717806
10188,Carson River Community Bank,Carson City,NV,"Carson City, NV",39.1698022,-119.7575628,2/26/2010,51095
10185,"La Jolla Bank, FSB",La Jolla,CA,"La Jolla, CA",32.8401623,-117.2740777,2/19/2010,3646071
10184,George Washington Savings Bank,Orland Park,IL,"Orland Park, IL",41.630663,-87.8536288,2/19/2010,413673
10186,The La Coste National Bank,La Coste,TX,"La Coste, TX",29.3102726,-98.8129169,2/19/2010,53936
10187,Marco Community Bank,Marco Island,FL,"Marco Island, FL",25.9363356,-81.7156832,2/19/2010,119578
10183,1st American State Bank of Minnesota,Hancock,MN,"Hancock, MN",45.497461,-95.796714,2/5/2010,18155
10178,American Marine Bank,Bainbridge Island,WA,"Bainbridge Island, WA",47.6475683,-122.54602915532404,1/29/2010,329246
10177,First Regional Bank,Los Angeles,CA,"Los Angeles, CA",34.0536909,-118.242766,1/29/2010,2082684
10180,Community Bank and Trust,Cornelia,GA,"Cornelia, GA",34.5114883,-83.5271166,1/29/2010,1181717
10182,"Marshall Bank, N.A.",Hallock,MN,"Hallock, MN",48.7744263,-96.946447,1/29/2010,58566
10181,Florida Community Bank,Immokalee,FL,"Immokalee, FL",26.42016,-81.42224084651733,1/29/2010,835701
10179,First National Bank of Georgia,Carrollton,GA,"Carrollton, GA",33.5801103,-85.0766113,1/29/2010,840633
10176,Columbia River Bank,The Dalles,OR,"The Dalles, OR",45.6015056,-121.1841587,1/22/2010,955112
10172,Evergreen Bank,Seattle,WA,"Seattle, WA",47.6038321,-122.330062,1/22/2010,395980
10175,Charter Bank,Santa Fe,NM,"Santa Fe, NM",35.6876096,-105.938456,1/22/2010,1201922
10174,Bank of Leeton,Leeton,MO,"Leeton, MO",38.5830717,-93.694658,1/22/2010,20128
10173,Premier American Bank,Miami,FL,"Miami, FL",25.7741728,-80.19362,1/22/2010,299225
10171,Barnes Banking Company,Kaysville,UT,"Kaysville, UT",41.0349847,-111.9383931,1/15/2010,709171
10169,St. Stephen State Bank,St. Stephen,MN,"St. Stephen, MN",45.702743,-94.2744404,1/15/2010,22895
10170,Town Community Bank & Trust,Antioch,IL,"Antioch, IL",42.4767131,-88.0950691,1/15/2010,70758
10168,Horizon Bank,Bellingham,WA,"Bellingham, WA",48.7544012,-122.478836,1/8/2010,1188956
10167,"First Federal Bank of California, F.S.B.",Santa Monica,CA,"Santa Monica, CA",34.0194704,-118.491227,12/18/2009,6143903
10161,Imperial Capital Bank,La Jolla,CA,"La Jolla, CA",32.8401623,-117.2740777,12/18/2009,4046888
10166,Independent Bankers' Bank,Springfield,IL,"Springfield, IL",39.7990175,-89.6439575,12/18/2009,585508
10163,New South Federal Savings Bank,Irondale,AL,"Irondale, AL",33.5381601,-86.7072102,12/18/2009,1464127
10162,Citizens State Bank,New Baltimore,MI,"New Baltimore, MI",42.6811436,-82.7368616,12/18/2009,168551
10165,Peoples First Community Bank,Panama City,FL,"Panama City, FL",30.1600827,-85.6545729,12/18/2009,1795420
10164,RockBridge Commercial Bank,Atlanta,GA,"Atlanta, GA",33.7489924,-84.3902644,12/18/2009,294024
10160,SolutionsBank,Overland Park,KS,"Overland Park, KS",38.9742502,-94.6851702,12/11/2009,511103
10159,"Valley Capital Bank, N.A.",Mesa,AZ,"Mesa, AZ",33.4151005,-111.8314552,12/11/2009,40270
10158,"Republic Federal Bank, N.A.",Miami,FL,"Miami, FL",25.7741728,-80.19362,12/11/2009,433011
10156,Greater Atlantic Bank,Reston,VA,"Reston, VA",38.955696,-77.34188283719988,12/4/2009,203262
10154,Benchmark Bank,Aurora,IL,"Aurora, IL",41.7571701,-88.3147539,12/4/2009,173062
10155,AmTrust Bank,Cleveland,OH,"Cleveland, OH",41.4996574,-81.6936772,12/4/2009,11438990
10153,The Tattnall Bank,Reidsville,GA,"Reidsville, GA",32.0868611,-82.1178978,12/4/2009,49612
10157,First Security National Bank,Norcross,GA,"Norcross, GA",33.9412127,-84.2135309,12/4/2009,127455
10152,The Buckhead Community Bank,Atlanta,GA,"Atlanta, GA",33.7489924,-84.3902644,12/4/2009,856236
10151,Commerce Bank of Southwest Florida,Fort Myers,FL,"Fort Myers, FL",26.640628,-81.8723084,11/20/2009,70997
10150,Pacific Coast National Bank,San Clemente,CA,"San Clemente, CA",33.4270275,-117.6124179,11/13/2009,131418
10149,Orion Bank,Naples,FL,"Naples, FL",26.1421976,-81.7942944,11/13/2009,2612515
10148,"Century Bank, F.S.B.",Sarasota,FL,"Sarasota, FL",27.3365805,-82.5308545,11/13/2009,755923
10147,United Commercial Bank,San Francisco,CA,"San Francisco, CA",37.7790262,-122.419906,11/6/2009,10895336
10146,Gateway Bank of St. Louis,St. Louis,MO,"St. Louis, MO",38.6280278,-90.1910154,11/6/2009,26882
10143,Prosperan Bank,Oakdale,MN,"Oakdale, MN",44.985624,-92.9645794,11/6/2009,197442
10144,Home Federal Savings Bank,Detroit,MI,"Detroit, MI",42.3315509,-83.0466403,11/6/2009,12994
10145,United Security Bank,Sparta,GA,"Sparta, GA",33.2757006,-82.9762589,11/6/2009,153639
10138,North Houston Bank,Houston,TX,"Houston, TX",29.7589382,-95.3676974,10/30/2009,325474
10142,Madisonville State Bank,Madisonville,TX,"Madisonville, TX",30.9498688,-95.9127773,10/30/2009,256330
10141,Citizens National Bank,Teague,TX,"Teague, TX",31.6271145,-96.2838621,10/30/2009,118236
10140,Park National Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,10/30/2009,4680881
10139,Pacific National Bank,San Francisco,CA,"San Francisco, CA",37.7790262,-122.419906,10/30/2009,2319263
10134,California National Bank,Los Angeles,CA,"Los Angeles, CA",34.0536909,-118.242766,10/30/2009,7781100
10135,San Diego National Bank,San Diego,CA,"San Diego, CA",32.7174202,-117.1627728,10/30/2009,3594544
10137,Community Bank of Lemont,Lemont,IL,"Lemont, IL",41.6737149,-88.0016263,10/30/2009,81843
10136,"Bank USA, N.A.",Phoenix,AZ,"Phoenix, AZ",33.4484367,-112.074141,10/30/2009,213205
10128,First DuPage Bank,Westmont,IL,"Westmont, IL",41.7950525,-87.9751964,10/23/2009,262093
10133,Riverview Community Bank,Otsego,MN,"Otsego, MN",45.2812733,-93.614857,10/23/2009,99057
10132,Bank of Elmwood,Racine,WI,"Racine, WI",42.7260523,-87.7825242,10/23/2009,327444
